,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SEPTEMBER,,,,OCTOBER,,,,NOVEMBER,,,DECEMBER,,,January 2026,,,February 2026,,,March 2026,,,April 2026,,,May 2026,
YEAR,WEEK,TOPIC,,YEAR,WEEK,TOPIC,,YEAR,WEEK,TOPIC,YEAR,WEEK,TOPIC,YEAR,WEEK,TOPIC,YEAR,WEEK,TOPIC,YEAR,WEEK,TOPIC,YEAR,WEEK,TOPIC,YEAR,WEEK,TOPIC
Year 7,WK1_DAY1,,,Year 7,WK1_DAY1,Negative numbers,,Year 7,WK1_DAY1,NA,Year 7,WK1_DAY1,Area of parallellogram  and trapezium ,Year 7,WK1_DAY1,NA,Year 7,WK1_DAY1,Cube numbers( recap),Year 7,WK1_DAY1,Stem and leaf diagram ,Year 7,WK1_DAY1,Mental Maths,Year 7,WK1_DAY1,Direct proportion 
,WK1_DAY2,,,,WK1_DAY2,NA,,,WK1_DAY2,NA,,WK1_DAY2,Quarterly Assessment I( Manual Answer),,WK1_DAY2,NA,,WK1_DAY2,Satisy and Happy numbers ,,WK1_DAY2,NA,,WK1_DAY2,Probability Intro,,WK1_DAY2,Sequence Dot shape
,WK2_DAY1,,,,WK2_DAY1,Expression with negative numbers,,,WK2_DAY1,Multiplying and dividing fraction ,,WK2_DAY1,Extension in area,,WK2_DAY1,Applying mathematics on area,,WK2_DAY1,Further arithmetic ,,WK2_DAY1,Data on Group ,,WK2_DAY1,Probability Intro 2,,WK2_DAY1,"Fraction , Decimal , Percentage"
,WK2_DAY2,,,,WK2_DAY2,Application of numbers,,,WK2_DAY2,Conversion of fraction ,,WK2_DAY2,Angles in  regular and iregular polygons,,WK2_DAY2,Mixed review,,WK2_DAY2,Average and range ,,WK2_DAY2,Problems on piechart,,WK2_DAY2,Eventually mutual ,,WK2_DAY2,Fraction of amounts
,WK3_DAY1,Algebra 1,,,WK3_DAY1,BIDMAS,,,WK3_DAY1,Coordinates,,WK3_DAY1,Word problems - ratio ,,WK3_DAY1,Mixed arithmetic review 1,,WK3_DAY1,NA,,WK3_DAY1,,,WK3_DAY1,Revision Test ,,Wk2day3,Mutually exclusive events
,WK3_DAY2,Algebra 2,,,WK3_DAY2,Mixed review of Algebra,,,WK3_DAY2,Equations of line- Straight line basics,,WK3_DAY2,Whole number arithmetic review ,,WK3_DAY2,Mixed arithmetic review 2,,WK3_DAY2,Cumulative frequency ,,WK3_DAY2,,,WK3_DAY2,Extension with probability ,,wk2day4,Sample space diagram
,WK4_DAY1,Algebra  3,,,WK4_DAY1,Combined operations,,,WK4_DAY1,Gradient ,,WK4_DAY1,Angle and parallel lines ,,WK4_DAY1,Problems on prime numbers,,WK4_DAY1,Average and range 2,,WK4_DAY1,Piechart creation from data,,WK4_DAY1,Applying mathematics,,WK4_DAY1,
,WK4_DAY2,Substituting value-Algebra,,,WK4_DAY2,Divisibility,,,WK4_DAY2,Excercise on Gradient and coordinates,,WK4_DAY2,Angle on Quadrilateral,,WK4_DAY2,Prime factors,,WK4_DAY2,Interpretating data,,WK4_DAY2,Data interpretation ,,WK4_DAY2,"Pounds, Pence",,WK4_DAY2,
,WK5_DAY1,Simplify the Expression ,,,WK5_DAY1,Navier Rod,,,WK5_DAY1,Area of square ,,WK5_DAY1,Simplification ,,WK5_DAY1,Cube numbers,,WK5_DAY1,NA,,WK5_DAY1,NA,,WK5_DAY1,Percentage intro,,WK5_DAY1,
